id,brand,fdacode,zipcode,street,country,tzone
1,Ranbaxy Laboratories Inc.,10631-113,,41731 Ruskin Drive,China,Asia/Chongqing
2,"NextSource Biotechnology, LLC",58181-3041,6030-006,7827 Maryland Plaza,Portugal,Europe/Lisbon
3,"Physicians Total Care, Inc.",54868-5780,4635-005,2 Londonderry Parkway,Portugal,Europe/Lisbon
4,"PharmaDerm, A division of Nycomed US Inc.",0462-0395,44604 CEDEX,140 Village Green Drive,France,Europe/Paris
5,"Duramed Pharmaceuticals, Inc.",51285-754,,6 Autumn Leaf Road,China,Asia/Harbin
6,"Navarro Discount Pharmacies,LLC",59970-169,989-1505,59 Clarendon Junction,Japan,Asia/Tokyo
7,QUALITY CHOICE (Chain Drug Marketing Association),63868-094,,0 Mallory Street,China,Asia/Shanghai
8,Jubilant HollisterStier LLC,65044-3456,28815,46501 Bayside Crossing,United States,America/New_York
9,Midlothian Laboratories,68308-505,,35448 2nd Terrace,South Korea,Asia/Seoul
10,"Revive Bioscience, Inc.",76433-004,,45296 American Ash Circle,China,Asia/Chongqing
11,Purdue Pharma LP,59011-442,48-120,6 Hanson Alley,Poland,Europe/Prague
12,Boots Retail USA Inc,68472-066,,75 Dahle Circle,China,Asia/Chongqing
13,"Carlsbad Technology, Inc.",61442-112,75139 CEDEX 03,4 Macpherson Park,France,Europe/Paris
14,Carilion Materials Management,68151-4362,,4 Stone Corner Circle,China,Asia/Harbin
15,"Liddell Laboratories, Inc.",50845-0092,6270-405,36046 Alpine Lane,Portugal,Europe/Lisbon
16,"Antigen Laboratories, Inc.",49288-0483,,2 Old Gate Point,China,Asia/Shanghai
17,"OMP, INC.",62032-509,,4 Corben Road,Bermuda,Atlantic/Bermuda
18,Jubilant HollisterStier LLC,65044-1832,,513 Riverside Point,China,Asia/Harbin
19,CVS Pharmacy,59779-524,,89015 Forest Trail,China,Asia/Shanghai
20,Geri Care Pharmaceutical,57896-904,87090 CEDEX 9,0166 Lighthouse Bay Pass,France,Europe/Paris
21,Rebel Distributors Corp,42254-257,,56 Amoth Alley,China,Asia/Chongqing
22,Valeant Pharmaceuticals North America LLC,0187-0500,412068,8357 Dovetail Avenue,Colombia,America/Bogota
23,Mylan Pharmaceuticals Inc.,0378-2922,,46697 Oriole Trail,South Korea,Asia/Seoul
24,Rebel Distributors Corp,21695-985,,2437 Cascade Court,China,Asia/Urumqi
25,"H and P Industries, Inc. dba Triad Group",50730-1091,91194 CEDEX,4852 Springs Avenue,France,Europe/Paris
26,"Upsher-Smith Laboratories, Inc.",0832-0912,,47 Menomonie Pass,China,Asia/Shanghai
27,Sanum Kehlbeck GmbH & Co. KG,60681-0301,426-0224,4101 Mcguire Trail,Japan,Asia/Tokyo
28,Publix Super Markets Inc,56062-224,,31437 Lakewood Pass,China,Asia/Harbin
29,PHYSICIANS FORMULA INC,31645-161,,5 Hooker Circle,China,Asia/Chongqing
30,Space Brands Limited,61601-1114,24-204,4 Tony Crossing,Poland,Europe/Warsaw
31,VVF Illinois Services,51815-223,7440,45585 Sundown Drive,Norway,Europe/Oslo
32,"General Injectables & Vaccines, Inc",52584-483,DL10,82323 Boyd Way,United Kingdom,Europe/London
33,"ABC Compounding Co., Inc.",62257-575,4765-497,81898 Burrows Way,Portugal,Europe/Lisbon
34,"NCS HealthCare of KY, Inc dba Vangard Labs",0615-0170,18706,6 Porter Terrace,United States,America/New_York
35,Mylan Pharmaceuticals Inc.,0378-0464,,0751 Sunfield Trail,China,Asia/Chongqing
36,Wockhardt Limited,55648-987,,74 Glacier Hill Place,China,Asia/Harbin
37,AmerisourceBergen (Good Neighbor Pharmacy),46122-181,83-243,4 Rowland Park,Poland,Europe/Warsaw
38,Apotheca Company,57520-0719,N2E,8728 Sunfield Circle,Canada,America/Montreal
39,A-S Medication Solutions LLC,54569-5840,,6 Florence Parkway,China,Asia/Shanghai
40,"Carver Korea Co.,Ltd",58930-053,,76 Mallory Street,China,Asia/Shanghai
41,HyVee Inc,42507-751,4525-406,0 Kings Way,Portugal,Europe/Lisbon
42,Coty US LLC,66184-143,0025,87159 Cardinal Junction,Norway,Europe/Oslo
43,AvPAK,50268-152,87592,1 Briar Crest Hill,United States,America/Denver
44,"McNeil Consumer Healthcare Div McNeil-PPC, Inc",50580-403,13540,43 North Drive,France,Europe/Paris
45,"The Man Can, LLC",59045-1001,84304 CEDEX,867 Pond Way,France,Europe/Paris
46,Liddell Laboratories,50845-0046,370 06,205 Ryan Center,Czech Republic,Europe/Prague
47,SUPERVALU INC.,41163-503,,96 Harper Hill,South Korea,Asia/Seoul
48,Apotheca Company,57520-0134,33404,8 Thompson Plaza,Spain,Europe/Madrid
49,"Best Sanitizers, Inc",59900-117,,580 Northfield Place,China,Asia/Shanghai
50,"Tarte, Inc",51060-040,,098 Victoria Hill,China,Asia/Shanghai
51,Hyland's,54973-2900,,9890 Commercial Center,China,Asia/Shanghai
52,"Novocol Pharmaceutical of Canada, Inc.",51004-2010,,950 International Junction,China,Asia/Chongqing
53,Teva Pharmaceuticals USA Inc,0093-5539,,5 Mosinee Parkway,China,Asia/Shanghai
54,CLINIQUE LABORATORIES INC.,49527-015,1058,25397 Mendota Lane,Denmark,Europe/Copenhagen
55,Jafra Cosmetics International Inc,68828-188,DL8,126 Carey Road,United Kingdom,Europe/London
56,AB7 Industries,52815-124,,1 Crowley Drive,China,Asia/Kolkata
57,"Physicians Total Care, Inc.",54868-5000,,84 Knutson Alley,China,Asia/Shanghai
58,First Aid Direct,53117-612,08-443,68856 Jenifer Lane,Poland,Europe/Warsaw
59,Cardinal Health,55154-2428,53726,1 Amoth Point,United States,America/Chicago
60,"Nelco Laboratories, Inc.",36987-3291,671 82,9361 Donald Point,Czech Republic,Europe/Prague
61,Natural Health Supply,64117-155,5155-104,18151 Rockefeller Circle,Portugal,Europe/Lisbon
62,"AvKARE, Inc.",42291-836,,023 Buena Vista Crossing,China,Asia/Harbin
63,Bryant Ranch Prepack,63629-1418,75287,1 Cherokee Avenue,United States,America/Chicago
64,"Aphena Pharma Solutions - Tennessee, Inc.",43353-494,,33812 Autumn Leaf Court,Ukraine,Europe/Zaporozhye
65,Eli Lilly and Company,0002-5121,,66 Emmet Junction,China,Asia/Chongqing
66,CVS Pharmacy Inc,59779-262,75547 CEDEX 11,290 Ryan Street,France,Europe/Paris
67,Natural Health Supply,64117-205,13205,75 Independence Pass,United States,America/New_York
68,Walgreen Company,0363-0923,205048,62 Lakeland Street,Colombia,America/Bogota
69,Jubilant HollisterStier LLC,65044-2620,,33 Fordem Pass,China,Asia/Shanghai
70,"Graceway Pharmaceuticals, LLC",29336-200,,52 Kenwood Crossing,China,Asia/Chongqing
71,Major Pharmaceuticals,0904-7695,29551 CEDEX 9,42 Birchwood Parkway,France,Europe/Paris
72,APOLLO HEALTH AND BEAUTY CARE,63148-173,500017,64603 Dwight Hill,Colombia,America/Bogota
73,Topco,36800-209,,85 Kenwood Drive,China,Asia/Shanghai
74,"Janssen Pharmaceuticals, Inc.",50458-341,20195,6539 Jay Junction,United States,America/New_York
75,Teva Pharmaceuticals USA Inc,0093-1087,,67 Eagle Crest Alley,China,Asia/Chongqing
76,"Wal-Mart Stores, Inc.",49035-731,,11 Corben Pass,China,Asia/Chongqing
